ref,site,height,age,lat,lon,pallat,pallong,D47,D47_sigma,SST,SST_error,organism,species,correction,scale,calibration,doi,notes
Meyer (2018),Prairie Bluff,ML-PRB-EXOd,69.45,32.42992,-88.03679,36.632946,-67.483798,0.725,0.007,14.9,2.3,mollusc,Exogyra costata,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.035,
Meyer (2018),Prairie Bluff,ML-PRB-EXOe,69.45,32.42992,-88.03679,36.632946,-67.483798,0.736,0.012,11.6,3.7,mollusc,Exogyra costata,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.036,
Meyer (2018),Prairie Bluff,ML-PRB-EXOf,69.45,32.42992,-88.03679,36.632946,-67.483798,0.723,0.013,15.6,4.1,mollusc,Exogyra costata,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.037,
Meyer (2018),Prairie Bluff,ML-PRB-EXOg,69.45,32.42992,-88.03679,36.632946,-67.483798,0.732,0.004,12.5,1.2,mollusc,Exogyra costata,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.038,
Meyer (2018),Prairie Bluff,ML-PRB-EXOh,69.45,32.42992,-88.03679,36.632946,-67.483798,0.75,0.016,6.6,5.2,mollusc,Exogyra costata,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.039,
Meyer (2018),Prairie Bluff,ML-PRB-EXOi,69.45,32.42992,-88.03679,36.632946,-67.483798,0.739,0.004,10.3,1.1,mollusc,Exogyra costata,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.040,
Meyer (2018),Ripley,CC-RIP-CRAa,73.46,35.33448,-88.43049,39.354332,-64.780398,0.712,0.006,19.2,2,mollusc,Crassitellites vadosis,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.041,
Meyer (2018),Ripley,CC-RIP-CUCaU,73.46,35.33448,-88.43049,39.354332,-64.780398,0.726,0.012,14.6,3.8,mollusc,Cucullaea vulgaris,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.042,
Meyer (2018),Ripley,CC-RIP-CUCaV,73.46,35.33448,-88.43049,39.354332,-64.780398,0.722,0.004,15.7,1.4,mollusc,Cucullaea vulgaris,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.043,
Meyer (2018),Ripley,CL-RIP-TURa,73.46,35.33448,-88.43049,39.354332,-64.780398,0.73,0.002,13.1,0.6,mollusc,Turritella paravertebroides,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.044,
Meyer (2018),Ripley,OC-RIP-EXOa,73.46,35.11934,-88.4147,39.140788,-64.818057,0.712,0.011,19.2,3.7,mollusc,Exogyra Costata,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.045,
Meyer (2018),Ripley,OC-RIP-EXOb,73.46,35.11934,-88.4147,39.140788,-64.818057,0.739,0.006,10.3,1.9,mollusc,Exogyra Costata,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.046,
Meyer (2018),Ripley,TR-RIP-EXOa,73.46,32.45545,-87.99628,36.459521,-65.029862,0.707,0.015,20.8,4.9,mollusc,Exogyra Costata,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.047,
Meyer (2018),Ripley,TR-RIP-EXOb,73.46,32.45545,-87.99628,36.459521,-65.029862,0.729,0.005,13.4,1.6,mollusc,Exogyra Costata,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.048,
Meyer (2018),Ripley,TR-RIP-EXOc,73.46,32.45545,-87.99628,36.459521,-65.029862,0.718,0.006,17.1,2.1,mollusc,Exogyra Costata,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.049,
Meyer (2018),Ripley,TR-RIP-EXOd,73.46,32.45545,-87.99628,36.459521,-65.029862,0.705,0.011,21.5,3.7,mollusc,Exogyra Costata,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.050,
Meyer (2018),Ripley,TR-RIP-EXOe,73.46,32.45545,-87.99628,36.459521,-65.029862,0.71,0.012021703,19.7,4.1,mollusc,Exogyra Costata,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.051,
Meyer (2018),demopolis,SA-DEM-ANOa,73.16,32.28715,-87.36739,36.194324,-64.421626,0.694,0.009,25.4,3.4,mollusc,Anomia sp.,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.052,
Meyer (2018),demopolis,SA-DEM-EXOa,73.16,32.28715,-87.36739,36.194324,-64.421626,0.718,0.019,17.5,6.1,mollusc,Exogyra cancellata,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.053,
Meyer (2018),demopolis,SA-DEM-OSTa,73.16,32.28715,-87.36739,36.194324,-64.421626,0.69,0.015,27.2,5.4,mollusc,Agerostrea mesenterica,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.054,
Meyer (2018),demopolis,SC-DEM-ANOa,73.16,32.67189,-88.17945,36.701126,-65.168,0.726,0.009,14.5,2.9,mollusc,Anomia tellinoides,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.055,
Meyer (2018),demopolis,SC-DEM-EXOb,73.16,32.67189,-88.17945,36.701126,-65.168,0.74,0.006,10.1,1.7,mollusc,Exogyra costata,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.056,
Meyer (2018),Navesink,BB-NAV-MESa,70.71,40.31978,-74.21916,42.25851,-51.391027,0.729,0.007,13.6,2.3,mollusc,Agerostrea mesenterica,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.057,
Meyer (2018),Navesink,CC-NAV-EXOa,70.71,40.10732,-74.5503,42.103163,-51.784351,0.766,0.015,2.9,4.5,mollusc,Exogyra cancellata,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.058,
Meyer (2018),Navesink,PB-NAV-EXOa,70.71,40.36915,-74.11958,42.291006,-51.276815,0.752,0.01,6.6,3,mollusc,Exogyra costata,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.059,
Meyer (2018),Navesink,PB-NAV-MESa,70.71,40.36915,-74.11958,42.291006,-51.276815,0.761,0.006,3.8,1.8,mollusc,Agerostrea mesenterica,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.060,
Drury (2016),U1338,321-U1338B-8H-4-W 50/52,5.055,2.50781667,117.969633,2.267859,117.595302,0.693,0.009,27,3,Coccolith,,,Absolute (Dennis 2011),Kluge 2015,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2016GC006459,< 63
Drury (2016),U1338,321-U1338B-8H-4-W 50/52,5.055,2.50781667,117.969633,2.267859,117.595302,0.688,0.002,29,1,Coccolith,,,Absolute (Dennis 2011),Kluge2015,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2016GC006459,< 20
Drury (2016),U1338,321-U1338B-8H-4-W 50/52,5.055,2.50781667,117.969633,2.267859,117.595302,0.693,0.004,27,2,Coccolith,,,Absolute (Dennis 2011),Kluge2015,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2016GC006459,< 10
Drury (2016),U1338,321-U1338B-8H-4-W 50/52,5.055,2.50781667,117.969633,2.267859,117.595302,0.7,0.008,24,3,Coccolith,,,Absolute (Dennis 2011),Kluge2015,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2016GC006459,2 to 5
Drury (2016),U1338,321-U1338B-11H-2-W 60/62,5.999,2.50781667,117.969633,2.267859,117.595302,0.693,0.003,27,1,Coccolith,,,Absolute (Dennis 2011),Kluge2015,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2016GC006459,< 63
Drury (2016),U1338,321-U1338B-11H-2-W 60/62,5.999,2.50781667,117.969633,2.267859,117.595302,0.701,0.003,24,1,Coccolith,,,Absolute (Dennis 2011),Kluge2015,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2016GC006459,< 20
Drury (2016),U1338,321-U1338B-11H-2-W 60/62,5.999,2.50781667,117.969633,2.267859,117.595302,0.718,0.008,18,2,Coccolith,,,Absolute (Dennis 2011),Kluge2015,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2016GC006459,< 10
Drury (2016),U1338,321-U1338B-11H-2-W 60/62,5.999,2.50781667,117.969633,2.267859,117.595302,0.72,0.009,18,3,Coccolith,,,Absolute (Dennis 2011),Kluge2015,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2016GC006459,2 to 5
Ghosh (2018),"Cauvery Basin, India",CRE A1,82.05,11,79,-33.242501,50.950281,0.71,,24,2.7,Mollusc,P. vesicularis.,,Dennis 2011,,https://doi.org/10.1038/s41598-018-26272-0,"SSTs are growth bands within a single specimen; SST error not specified in paper, average used here"
Ghosh (2018),"Cauvery Basin, India",CRE A2,82.05,11,79,-33.242501,50.950281,0.66,,37,2.7,Mollusc,P. vesicularis.,,Dennis 2011,,https://doi.org/10.1038/s41598-018-26272-0,"SSTs are growth bands within a single specimen; SST error not specified in paper, average used here"
Ghosh (2018),"Cauvery Basin, India",CRE A3,82.05,11,79,-33.242501,50.950281,0.67,,34,2.7,Mollusc,P. vesicularis.,,Dennis 2011,,https://doi.org/10.1038/s41598-018-26272-0,"SSTs are growth bands within a single specimen; SST error not specified in paper, average used here"
Ghosh (2018),"Cauvery Basin, India",CRE A4,82.05,11,79,-33.242501,50.950281,0.7,,27,2.7,Mollusc,P. vesicularis.,,Dennis 2011,,https://doi.org/10.1038/s41598-018-26272-0,"SSTs are growth bands within a single specimen; SST error not specified in paper, average used here"
Ghosh (2018),"Cauvery Basin, India",CRE A5,82.05,11,79,-33.242501,50.950281,0.73,,21,2.7,Mollusc,P. vesicularis.,,Dennis 2011,,https://doi.org/10.1038/s41598-018-26272-0,"SSTs are growth bands within a single specimen; SST error not specified in paper, average used here"
Ghosh (2018),"Cauvery Basin, India",CRE A6,82.05,11,79,-33.242501,50.950281,0.69,,30,2.7,Mollusc,P. vesicularis.,,Dennis 2011,,https://doi.org/10.1038/s41598-018-26272-0,"SSTs are growth bands within a single specimen; SST error not specified in paper, average used here"
Ghosh (2018),"Cauvery Basin, India",CRE A7,82.05,11,79,-33.242501,50.950281,0.67,,35,2.7,Mollusc,P. vesicularis.,,Dennis 2011,,https://doi.org/10.1038/s41598-018-26272-0,"SSTs are growth bands within a single specimen; SST error not specified in paper, average used here"
Ghosh (2018),"Cauvery Basin, India",CRE A8,82.05,11,79,-33.242501,50.950281,0.66,,37,2.7,Mollusc,P. vesicularis.,,Dennis 2011,,https://doi.org/10.1038/s41598-018-26272-0,"SSTs are growth bands within a single specimen; SST error not specified in paper, average used here"
Meyer (2019),"Merced County, California",MC-MOR-GLYb,69.7,36.95583,-120.8775,45.007294,-102.066739,,,14.7,5.3,Mollusk,Glycymeris,,Absolute ,Defliese 2015,https://doi.org/10.1038/s41467-019-13366-0,SST calculated from mean of sample replicates
Meyer (2019),"Merced County, California",MC-MOR-GLYd,71,36.95583,-120.8775,45.007294,-102.066739,,,26,3.2,Mollusk,Glycymeris,,Absolute ,Defliese 2015,https://doi.org/10.1038/s41467-019-13366-0,SST calculated from mean of sample replicates
Meyer (2019),"Merced County, California",MC-GAR-GRYa,71.5,36.95583,-120.8775,45.007294,-102.066739,,,17.7,4,Mollusk,Gryphaea,,Absolute ,Defliese 2015,https://doi.org/10.1038/s41467-019-13366-0,SST calculated from mean of sample replicates
Meyer (2019),"North Slope, Alaska",OP-PRI-CYRa,69.43,70.08333,-151.41667,79.273835,-139.23647,,,8.7,1.8,Mollusk,Cyrtodaria,,Absolute ,Defliese 2015,https://doi.org/10.1038/s41467-019-13366-0,SST calculated from mean of sample replicates
Meyer (2019),"Scania, Sweden",SC-BAL-BELa,69.2,56.16611,14.35806,53.527431,12.766423,,,21.4,3.1,Mollusk,Unknown bivalve,,Absolute ,Defliese 2015,https://doi.org/10.1038/s41467-019-13366-0,SST calculated from mean of sample replicates
Meyer (2019),"Scania, Sweden",SC-BAL-BELb,72.3,56.16611,14.35806,53.527431,12.766423,,,16.1,3.7,Mollusk,Belemnitella,,Absolute ,Defliese 2015,https://doi.org/10.1038/s41467-019-13366-0,SST calculated from mean of sample replicates
Meyer (2019),"Scania, Sweden",SC-BAL-BIVa,69.2,56.16611,14.35806,53.527431,12.766423,,,9.5,3.1,Mollusk,Belemnitella,,Absolute ,Defliese 2015,https://doi.org/10.1038/s41467-019-13366-0,SST calculated from mean of sample replicates
Meyer (2019),"Fezzan, Libya",LI-FEZ-UNGa,70.9,26.54778,12.73694,18.783325,9.22143,,,32,2.4,Mollusk,Agerostrea ungulata,,Absolute ,Defliese 2015,https://doi.org/10.1038/s41467-019-13366-0,SST calculated from mean of sample replicates
Meyer (2019),"Fezzan, Libya",LI-FEZ-UNGb,71.4,26.54778,12.73694,18.783325,9.22143,,,32,1.2,Mollusk,Agerostrea ungulata,,Absolute ,Defliese 2015,https://doi.org/10.1038/s41467-019-13366-0,SST calculated from mean of sample replicates
Keating Bitonti (2011),"Hatchetigbee Bluff, Alabama, US",4a,53,31.5,-92.1,35.83626,-77.614235,0.638,0.013,26.3,2.7,mollusc (bivalve),Venericardia hatcheplata,,,Ghosh 2006,doi:10.1130/G32054.1,"bulk shell only; SST error not specified in paper, average used here"
Keating Bitonti (2011),"Hatchetigbee Bluff, Alabama, US",2b,53,31.5,-92.1,35.83626,-77.614235,0.634,0.006,27.8,2.7,mollusc (bivalve),Venericardia hatcheplata,,,Ghosh 2006,doi:10.1130/G32054.1,"bulk shell only; SST error not specified in paper, average used here"
Evans et al. (2018),BF8d,,31,,,25,,0.696,0.012,29.4,3.1,foraminifera,Radiate Nummulites,,Absolute ,,,
Evans et al. (2018),17/36/2 80-95,,33.9,,,-20,,0.682,0.012,29.7,3.2,foraminifera,Reticulate Nummulites,,Absolute ,,,
Evans et al. (2018),KW01,,39,,,-6,,0.67,0.007,35,2,foraminifera,Nummulites djokdjokartae,,Absolute ,,,
Evans et al. (2018),KW03,,39,,,-6,,0.666,0.007,36.3,1.9,foraminifera,Nummulites djokdjokartae,,Absolute ,,,
Evans et al. (2018),SW1,,42.5,,,45,,0.701,0.01,23.2,2.6,foraminifera,Palaeonummulites aff. prestwichianus,,Absolute ,,,
Evans et al. (2018),BS1,,44,,,45,,0.695,0.01,27,2.7,foraminifera,Nummulites aquitanicus,,Absolute ,,,
Evans et al. (2018),W10-3c,,47,,,44,,0.683,0.008,30.4,2.1,foraminifera,Nummulites britannicus,,Absolute ,,,
Evans et al. (2018),K98.3,,49.9,,,5,,0.669,0.009,35.1,2.6,foraminifera,Nummulites burdigalensis cantabricus,,Absolute ,,,
Evans et al. (2018),EF2,,50.7,,,45,,0.686,0.01,31.1,2.8,foraminifera,Palaeonummulites planulatus,,Absolute ,,,
Evans et al. (2018),EF1,,50.8,,,45,,0.7,0.009,28.5,2.4,foraminifera,Palaeonummulites planulatus,,Absolute ,,,
Evans et al. (2018),KE57.5,,53.4,,,45,,0.726,0.01,20,2.5,foraminifera,Palaeonummulites planulatus,,Absolute ,,,
Evans et al. (2018),CJTT,,53.5,,,43,,0.732,0.012,18.5,2.8,foraminifera,Palaeonummulites planulatus,,Absolute ,,,
Evans et al. (2018),K136.4,,54.9,,,5,,0.674,0.009,33.1,2.5,foraminifera,Nummulites burdigalensis kuepperi,,Absolute ,,,
Evans et al. (2018),K/N-06/5,,55.3,,,5,,0.678,0.009,30.4,2.5,foraminifera,Nummulites globulus nanus,,Absolute ,,,
