source,msbf,age,d18O_raw,fullsp,d18O_species,d18O,origin,ref,notes
DSDP463,243.59,89.20263189,-0.97,Globorotalites conicus,-0.97,-0.67,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,253.49,89.91724836,-0.62,Globorotalites conicus,-0.62,-0.32,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,254.69,89.98809293,-0.84,Globorotalites conicus,-0.84,-0.54,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,282.01,91.25767859,-1.38,Globorotalites conicus,-1.38,-1.08,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,283.39,91.31578452,-1.79,Globorotalites conicus,-1.79,-1.49,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,291.49,91.7045272,-0.95,Globorotalites conicus,-0.95,-0.65,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,291.99,91.72960251,-1.25,Globorotalites conicus,-1.25,-0.95,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,292.49,91.75467782,-1.32,Globorotalites conicus,-1.32,-1.02,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,293.49,91.80482843,-0.98,Globorotalites conicus,-0.98,-0.68,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,294.19,91.83993387,-1.31,Globorotalites conicus,-1.31,-1.01,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,282.49,91.27788935,-1.53,mixed benthics,-1.53,-1.23,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,282.94,91.29683693,-2.37,mixed benthics,-2.37,-2.07,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,283.8,91.33304787,-1.25,mixed benthics,-1.25,-0.95,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,47.02,67.3318675,0.61,Nuttallides truempyi,0.8,1.1,Cramer2009,"BarreraSavin99, also Li&Keller, 1999","In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,47.48,67.34341492,0.73,Nuttallides truempyi,0.93,1.23,Cramer2009,"BarreraSavin99, also Li&Keller, 1999","In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,48.49,67.36876904,0.85,Nuttallides truempyi,1.07,1.37,Cramer2009,"BarreraSavin99, also Li&Keller, 1999","In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,54,67.50708707,0.24,Nuttallides truempyi,0.38,0.68,Cramer2009,"BarreraSavin99, also Li&Keller, 1999","In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,55.5,67.54474171,0.45,Nuttallides truempyi,0.62,0.92,Cramer2009,"BarreraSavin99, also Li&Keller, 1999","In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,55.86,67.55377882,0.58,Nuttallides truempyi,0.76,1.06,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,56.51,67.57009583,0.52,Nuttallides truempyi,0.7,1,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,63.51,67.74581746,0.43,Nuttallides truempyi,0.6,0.9,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,63.51,67.74581746,0.51,Nuttallides truempyi,0.69,0.99,"Li & Keller, 1999","Li & Keller, 1999","Same sample interval as Barrera&Savin, 1999, but different d18O value"
DSDP463,66.48,67.91353508,0.29,Nuttallides truempyi,0.44,0.74,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,66.53,67.91659036,0.49,Nuttallides truempyi,0.66,0.96,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,72.97,68.37237326,0.21,Nuttallides truempyi,0.35,0.65,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,72.97,68.37237326,0.33,Nuttallides truempyi,0.48,0.78,"Li & Keller, 1999","Li & Keller, 1999","Same sample interval as Barrera&Savin, 1999, but different d18O value"
DSDP463,74.51,68.46601938,0.41,Nuttallides truempyi,0.57,0.87,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,76.02,68.5517096,0.29,Nuttallides truempyi,0.44,0.74,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,77.51,68.63249614,0.37,Nuttallides truempyi,0.53,0.83,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,78.98,68.7121983,0.37,Nuttallides truempyi,0.53,0.83,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,80.53,68.79623799,0.14,Nuttallides truempyi,0.27,0.57,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,80.53,68.79623799,0.39,Nuttallides truempyi,0.55,0.85,"Li & Keller, 1999","Li & Keller, 1999","Same sample interval as Barrera&Savin, 1999, but different d18O value"
DSDP463,82.76,68.9171467,0.43,Nuttallides truempyi,0.6,0.9,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,82.76,68.9171467,0.64,Nuttallides truempyi,0.83,1.13,"Li & Keller, 1999","Li & Keller, 1999","Same sample interval as Barrera&Savin, 1999, but different d18O value"
DSDP463,84.25,68.99793324,0.51,Nuttallides truempyi,0.69,0.99,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,85.03,69.04022419,0.31,Nuttallides truempyi,0.46,0.76,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,87.01,69.14315211,0.49,Nuttallides truempyi,0.66,0.96,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,87.96,69.1878579,0.47,Nuttallides truempyi,0.64,0.94,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012, but reported d13C value different."
DSDP463,91.99,69.37783125,0.55,Nuttallides truempyi,0.73,1.03,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,92.51,69.40237546,0.53,Nuttallides truempyi,0.71,1.01,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,93.51,69.44957587,0.42,Nuttallides truempyi,0.58,0.88,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,94.99,69.51943248,0.49,Nuttallides truempyi,0.66,0.96,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,94.99,69.51943248,0.39,Nuttallides truempyi,0.55,0.85,"Li & Keller, 1999","Li & Keller, 1999","Same sample interval as Barrera&Savin, 1999, but different d18O value"
DSDP463,95.93,69.56380087,0.26,Nuttallides truempyi,0.4,0.7,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,96.49,69.5902331,0.45,Nuttallides truempyi,0.62,0.92,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,98.04,69.65588378,0.65,Nuttallides truempyi,0.84,1.14,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,99.49,69.71065084,0.25,Nuttallides truempyi,0.39,0.69,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,99.51,69.71140624,0.48,Nuttallides truempyi,0.65,0.95,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,100.79,69.75975233,0.33,Nuttallides truempyi,0.48,0.78,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,100.88,69.76315167,0.9,Nuttallides truempyi,1.12,1.42,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,101.08,69.77070574,0.85,Nuttallides truempyi,1.07,1.37,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,101.52,69.78732471,0.62,Nuttallides truempyi,0.81,1.11,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,101.54,69.78808012,0.94,Nuttallides truempyi,1.17,1.47,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,101.61,69.79072404,0.88,Nuttallides truempyi,1.1,1.4,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,102.25,69.81489709,0.35,Nuttallides truempyi,0.51,0.81,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,102.25,69.81489709,0.52,Nuttallides truempyi,0.7,1,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,102.33,69.81791872,0.74,Nuttallides truempyi,0.94,1.24,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,102.56,69.82660591,0.7,Nuttallides truempyi,0.9,1.2,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,102.79,69.83529309,0.61,Nuttallides truempyi,0.8,1.1,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,102.79,69.83529309,0.76,Nuttallides truempyi,0.97,1.27,"Li & Keller, 1999","Li & Keller, 1999","Same sample interval as Barrera&Savin, 1999, but different d18O value"
DSDP463,103.75,69.87155266,0.5,Nuttallides truempyi,0.67,0.97,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,103.98,69.88023985,0.72,Nuttallides truempyi,0.92,1.22,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,104.48,69.89912504,1.01,Nuttallides truempyi,1.25,1.55,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,104.48,69.89912504,0.78,Nuttallides truempyi,0.99,1.29,"Li & Keller, 1999","Li & Keller, 1999","Same sample interval as Barrera&Savin, 1999, but different d18O value"
DSDP463,104.8,69.91121156,0.66,Nuttallides truempyi,0.85,1.15,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,105.25,69.92820823,0.49,Nuttallides truempyi,0.66,0.96,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,105.56,69.93991705,0.87,Nuttallides truempyi,1.09,1.39,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,106.01,69.95691372,1.12,Nuttallides truempyi,1.37,1.67,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,106.02,69.95729142,0.91,Nuttallides truempyi,1.13,1.43,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,106.26,69.96635632,0.87,Nuttallides truempyi,1.09,1.39,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,106.75,69.9848638,0.53,Nuttallides truempyi,0.71,1.01,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,107.18,70.00110507,0.89,Nuttallides truempyi,1.11,1.41,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,107.49,70.01281388,0.62,Nuttallides truempyi,0.81,1.11,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,107.49,70.01281388,0.74,Nuttallides truempyi,0.94,1.24,"Li & Keller, 1999","Li & Keller, 1999","Same sample interval as Barrera&Savin, 1999, but different d18O value"
DSDP463,107.76,70.02301189,0.94,Nuttallides truempyi,1.17,1.47,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,108.25,70.04151937,0.52,Nuttallides truempyi,0.7,1,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,108.55,70.05285049,0.89,Nuttallides truempyi,1.11,1.41,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,108.76,70.06078227,1.09,Nuttallides truempyi,1.34,1.64,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,108.76,70.06078227,0.9,Nuttallides truempyi,1.12,1.42,"Li & Keller, 1999","Li & Keller, 1999","Same sample interval as Barrera&Savin, 1999, but different d18O value"
DSDP463,109.13,70.07374003,0.93,Nuttallides truempyi,1.16,1.46,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,110.56,70.11685268,0.79,Nuttallides truempyi,1,1.3,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,110.99,70.12981662,1.03,Nuttallides truempyi,1.27,1.57,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,110.99,70.12981662,0.91,Nuttallides truempyi,1.13,1.43,"Li & Keller, 1999","Li & Keller, 1999","Same sample interval as Barrera&Savin, 1999, but different d18O value"
DSDP463,111.23,70.13705231,0.77,Nuttallides truempyi,0.98,1.28,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,112.04,70.16147276,0.75,Nuttallides truempyi,0.96,1.26,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,112.51,70.17564265,1.06,Nuttallides truempyi,1.3,1.6,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,112.51,70.17564265,0.97,Nuttallides truempyi,1.2,1.5,"Li & Keller, 1999","Li & Keller, 1999","Same sample interval as Barrera&Savin, 1999, but different d18O value"
DSDP463,114.04,70.22177017,1.02,Nuttallides truempyi,1.26,1.56,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,114.04,70.22177017,0.85,Nuttallides truempyi,1.07,1.37,"Li & Keller, 1999","Li & Keller, 1999","Same sample interval as Barrera&Savin, 1999, but different d18O value"
DSDP463,114.28,70.22900586,0.67,Nuttallides truempyi,0.87,1.17,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,115.51,70.26608877,0.92,Nuttallides truempyi,1.15,1.45,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,115.51,70.26608877,0.8,Nuttallides truempyi,1.01,1.31,"Li & Keller, 1999","Li & Keller, 1999","Same sample interval as Barrera&Savin, 1999, but different d18O value"
DSDP463,120.53,70.41743526,0.7,Nuttallides truempyi,0.9,1.2,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,122.01,70.46022114,0.93,Nuttallides truempyi,1.16,1.46,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,122.01,70.46022114,0.6,Nuttallides truempyi,0.79,1.09,"Li & Keller, 1999","Li & Keller, 1999","Same sample interval as Barrera&Savin, 1999, but different d18O value"
DSDP463,122.91,70.48437861,0.67,Nuttallides truempyi,0.87,1.17,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,123.47,70.49940993,0.81,Nuttallides truempyi,1.02,1.32,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,123.47,70.49940993,0.69,Nuttallides truempyi,0.89,1.19,"Li & Keller, 1999","Li & Keller, 1999","Same sample interval as Barrera&Savin, 1999, but different d18O value"
DSDP463,123.77,70.50746242,0.56,Nuttallides truempyi,0.74,1.04,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,124.48,70.52651998,0.55,Nuttallides truempyi,0.73,1.03,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,125.01,70.54074604,0.66,Nuttallides truempyi,0.85,1.15,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,126.51,70.5810085,1.04,Nuttallides truempyi,1.28,1.58,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,126.51,70.5810085,0.73,Nuttallides truempyi,0.93,1.23,"Li & Keller, 1999","Li & Keller, 1999","Same sample interval as Barrera&Savin, 1999, but different d18O value"
DSDP463,130.29,70.68246987,0.51,Nuttallides truempyi,0.69,0.99,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,130.29,70.68246987,0.62,Nuttallides truempyi,0.81,1.11,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,130.29,70.68246987,0.62,Nuttallides truempyi,0.81,1.11,"Li & Keller, 1999","Li & Keller, 1999","Same sample interval as Barrera&Savin, 1999, but different d18O value"
DSDP463,131.75,70.72165866,0.36,Nuttallides truempyi,0.52,0.82,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,131.75,70.72165866,0.57,Nuttallides truempyi,0.75,1.05,"Li & Keller, 1999","Li & Keller, 1999","Same sample interval as Barrera&Savin, 1999, but different d18O value"
DSDP463,132.71,70.74742663,0.2,Nuttallides truempyi,0.34,0.64,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,132.96,70.75413704,0.56,Nuttallides truempyi,0.74,1.04,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,134.45,70.79524746,0.56,Nuttallides truempyi,0.74,1.04,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,134.54,70.79803132,0.34,Nuttallides truempyi,0.49,0.79,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,135.54,70.82896311,0.69,Nuttallides truempyi,0.89,1.19,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,135.76,70.8357681,0.4,Nuttallides truempyi,0.56,0.86,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,135.89,70.83978924,0.5,Nuttallides truempyi,0.67,0.97,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,137.25,70.88185647,0.07,Nuttallides truempyi,0.19,0.49,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,137.52,70.89020805,0.57,Nuttallides truempyi,0.75,1.05,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,139.25,70.94372005,-0.19,Nuttallides truempyi,-0.1,0.2,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,139.51,70.95176231,0.01,Nuttallides truempyi,0.12,0.42,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,140.77,70.99073636,0.08,Nuttallides truempyi,0.2,0.5,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,140.96,70.9966134,0.36,Nuttallides truempyi,0.52,0.82,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,142.23,71.03589677,0.1,Nuttallides truempyi,0.22,0.52,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,142.45,71.04270177,0.42,Nuttallides truempyi,0.58,0.88,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,143.75,71.08291309,-0.05,Nuttallides truempyi,0.06,0.36,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,143.99,71.09033672,0.28,Nuttallides truempyi,0.43,0.73,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,145.29,71.13054805,-0.47,Nuttallides truempyi,-0.42,-0.12,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,145.49,71.1367344,0.24,Nuttallides truempyi,0.38,0.68,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,146.75,71.18057458,0.03,Nuttallides truempyi,0.15,0.45,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,146.99,71.19071723,0.52,Nuttallides truempyi,0.7,1,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,147.78,71.22410344,-0.22,Nuttallides truempyi,-0.13,0.17,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,148.21,71.24227567,0.11,Nuttallides truempyi,0.24,0.54,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,148.99,71.27523927,0.35,Nuttallides truempyi,0.51,0.81,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,157.74,71.63120839,0.29,Nuttallides truempyi,0.44,0.74,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,158.01,71.64181471,-0.15,Nuttallides truempyi,-0.06,0.24,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,158.51,71.66274092,0.19,Nuttallides truempyi,0.33,0.63,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,159.49,71.72253778,-0.04,Nuttallides truempyi,0.07,0.37,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,159.98,71.75380716,0.22,Nuttallides truempyi,0.36,0.66,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,161.05,71.82208928,0.09,Nuttallides truempyi,0.21,0.51,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,161.53,71.85272052,0.3,Nuttallides truempyi,0.45,0.75,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,162.46,71.91206853,-0.12,Nuttallides truempyi,-0.02,0.28,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,163.03,71.95005371,0.33,Nuttallides truempyi,0.48,0.78,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,164.05,72.02624685,0,Nuttallides truempyi,0.11,0.41,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,164.53,72.06210245,0.2,Nuttallides truempyi,0.34,0.64,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,165.46,72.13157266,-0.11,Nuttallides truempyi,-0.01,0.29,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,165.49,72.13381364,-0.13,Nuttallides truempyi,-0.03,0.27,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,166.04,72.17489817,0.19,Nuttallides truempyi,0.33,0.63,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,167.21,72.26229619,0.01,Nuttallides truempyi,0.12,0.42,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012, but reported d13C value different."
DSDP463,167.7,72.29889878,-0.04,Nuttallides truempyi,0.07,0.37,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,168.01,72.32205551,0.03,Nuttallides truempyi,0.15,0.45,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012, but reported d13C value different."
DSDP463,176.71,73.17559174,-0.08,Nuttallides truempyi,0.02,0.32,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,177.14,73.21973628,-0.23,Nuttallides truempyi,-0.15,0.15,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,177.49,73.25566789,-0.04,Nuttallides truempyi,0.07,0.37,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,178.6,73.38045113,-0.05,Nuttallides truempyi,0.06,0.36,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,179.09,73.44472877,0.03,Nuttallides truempyi,0.15,0.45,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012, but reported d13C value different."
DSDP463,180.2,73.59033732,-0.04,Nuttallides truempyi,0.07,0.37,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,180.54,73.63493813,-0.17,Nuttallides truempyi,-0.08,0.22,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,181.52,73.74577468,-0.07,Nuttallides truempyi,0.03,0.33,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,182.04,73.8034312,-0.14,Nuttallides truempyi,-0.04,0.26,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,182.97,73.90654767,-0.37,Nuttallides truempyi,-0.3,0,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,183.15,73.92650569,-0.04,Nuttallides truempyi,0.07,0.37,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,184.67,74.10924545,-0.07,Nuttallides truempyi,0.03,0.33,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,184.98,74.14398035,-0.04,Nuttallides truempyi,0.07,0.37,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,186.98,74.39957354,0.05,Nuttallides truempyi,0.17,0.47,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,188.56,74.59464636,0.02,Nuttallides truempyi,0.13,0.43,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,190.06,74.77984207,0.11,Nuttallides truempyi,0.24,0.54,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,191.54,74.97389176,0.2,Nuttallides truempyi,0.34,0.64,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,192.47,75.10604463,0.11,Nuttallides truempyi,0.24,0.54,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
